------------------------------------------------------------------------------------
Date: 7/28/2025 -- 18:05:44 (uptime: 0d, 00h 00m 01s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 279
decoder.bytes                                 | Total                     | 248656
decoder.ipv4                                  | Total                     | 277
decoder.ethernet                              | Total                     | 279
decoder.tcp                                   | Total                     | 277
decoder.avg_pkt_size                          | Total                     | 891
decoder.max_pkt_size                          | Total                     | 2962
flow.tcp                                      | Total                     | 3
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 3
tcp.sessions                                  | Total                     | 3
tcp.invalid_checksum                          | Total                     | 149
tcp.syn                                       | Total                     | 3
tcp.synack                                    | Total                     | 3
app_layer.tx.http                             | Total                     | 4
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9800
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 2
flow.mgr.flows_notimeout                      | Total                     | 2
tcp.memuse                                    | Total                     | 12124160
tcp.reassembly_memuse                         | Total                     | 1966080
flow.memuse                                   | Total                     | 7394304
------------------------------------------------------------------------------------
Date: 7/28/2025 -- 18:07:49 (uptime: 0d, 00h 00m 00s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 279
decoder.bytes                                 | Total                     | 248656
decoder.ipv4                                  | Total                     | 277
decoder.ethernet                              | Total                     | 279
decoder.tcp                                   | Total                     | 277
decoder.avg_pkt_size                          | Total                     | 891
decoder.max_pkt_size                          | Total                     | 2962
flow.tcp                                      | Total                     | 3
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 3
tcp.sessions                                  | Total                     | 3
tcp.syn                                       | Total                     | 3
tcp.synack                                    | Total                     | 3
tcp.overlap                                   | Total                     | 1
detect.alert                                  | Total                     | 6
app_layer.flow.http                           | Total                     | 3
app_layer.tx.http                             | Total                     | 4
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9700
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 2
flow.mgr.flows_notimeout                      | Total                     | 2
tcp.memuse                                    | Total                     | 12124160
tcp.reassembly_memuse                         | Total                     | 1966080
flow.memuse                                   | Total                     | 7394304
